name,voice,description,personality,birthday,favorite,weak_point,sex,image_summaries
水戸光圀,"身分なんて関係ねぇ…
困ってる奴がいたら助けに行く、
当然だろ？",徳川家康の孫にあたる人物。若い頃は自由奔放な行動をとっていたが、歴史書「史記」に感銘を受けてからはその生活を一変させ、猛烈な勢いで読書と学問に励み、水戸二代藩主へと就任し、善政を施した。そんな光圀は数年前に隠居し、今は羽を伸ばすために諸国を悠々自適に巡る日々を送っているが、実は本来の目的は世直しで、旅先で出会った苦しむ民を助けて回っている。徳川家の人間らしくカラクリ好きであり、徳川の科学技術が応用されたバイクと、助さんと格さんという二体のロボットを旅のお供にしている。,度量が大きく快活、義理人情に厚い,7/11,愛車での旅、新しいもの、鮭の皮、納豆ご飯,きゅうり,男," 水戸光圀は、日本のゲーム「モンスターストライク」に登場するキャラクターです。彼は、徳川光圀の息子で、水戸藩の藩主です。光圀は、正義感が強く、曲がったことが嫌いな性格です。また、彼は、学問を好み、水戸藩に彰考館という学問所を設立しました。光圀は、日本の歴史上、重要な人物の1人です。

画像の水戸光圀は、バイクに乗っています。彼は、片手でハンドルを持ち、もう片方の手で鍵を差しています。光圀は、黒い革のジャケットを着て、紫色のズボンを身に着けています。彼は、長髪で、ちょんまげを結んでいます。光圀の顔には、ひげが生えています。彼は、真剣な表情で、前を見ています。

バイクの前には、光圀の息子である松平頼元が乗っています。松平頼元は、水戸藩の世継ぎです。彼は、光圀に似て、正義感が強く、曲がったことが嫌いな性格です。頼元は、学問を好み、彰考館で学んでいます。頼元は、日本の歴史上、重要な人物の1人です。

画像の左には、光圀の家臣である由良之助がいます。由良之助は、光圀に仕えており、彼を支えています。由良之助は、冷静沈着な性格で、光圀の良き相談相手です。由良之助は、日本の歴史上、重要な人物の1人です。"
ラブ,"見つけた♪あたしの王子様♡
これって絶対運命よね♡デュフフ…♡",マスターディスクを所持する運命に選ばれた高校生の少女。恋愛に強い興味はありながらも奥手であるため、その鬱憤を恋愛シミュレーションゲームで解消している。中でも、人気シリーズ『ドッKINGはぁと♡』の最新作である『ドッKINGはぁと♡～好きなアイツは王子様5～』を特に気に入っており、攻略難易度が非常に高いゲームであるにもかかわらず、現実に近い恋愛ができるこのゲームに夢中になっている。マスターディスクの能力に目覚めてからは、理想の王子様を求めて気に入った相手をゲームワールドに引きずり込み、無理やり自身の攻略対象に仕立て上げている。,おっちょこちょいで奥手だが行動的な面を持つ、承認欲求が強く思い込みが激しい,9/23,恋愛シミュレーションゲーム（本当はリアルな恋愛がしたいけど）、糖度高めのシナリオ,人と話すこと、攻略したいのにできないサブキャラ、攻略中のゲームのネタバレ,女," ラブは、モンスターストライクというゲームに登場するキャラクターです。
彼女は、白いセーラー服を着て、ピンクの髪をツインテールにしています。
また、大きな眼鏡をかけており、いつもトーストをくわえています。
ラブは、とても明るく元気な性格で、いつも笑顔を絶やしません。
また、彼女はトーストが大好きで、いつもトーストを食べています。"
sinギルティ,"時は満ちた…
我がもたらすは罰か赦しか…",遥か昔、神は多様な生命があふれる楽園を望み、世界を創造した。空には太陽と月を、地には海を創り、植物を茂らせ、鳥や魚といった数多の生物を生み出した。そして最後に、神は人間を創った。自らの代わりに楽園を豊かに導く存在として――。こうして誕生した人類は、神の御心のままに生物たちと共に歩み、繁栄していった。しかし、いつしか人類は慢心し、神の御心に反する行為「罪」を犯すようになっていった。神は人類に対して再三に渡って警告をしたが、人類は省みることなく、罪を重ねていく。「絶望という罰を与えなければ人類は悔い改めない」という神の怒りは形となり、断罪のドラゴンであるsinギルティが誕生した。ギルティは神の意志に従い、罪深き者たちによって腐敗した国に降臨し、その土地ごと罪を焼き払った。生き延びた人類は、ギルティを「神罰」と呼んで恐れ、自分たちのこれまでの行いを深く反省するが、時が経つに連れてまた罪を重ね、そしてギルティによって焼き払われるといった歴史を幾度も繰り返していく。そうして長い年月が経ったあるとき、ついに人類は神に反旗を翻し、神罰を与えんと現れたギルティを迎え撃った。絶命寸前まで追い詰められたギルティは、卵を産み落として消滅する。そうしてギルティの卵は、強力な封印を施された上で、人類によって厳重に監視されることとなったのだった。,,,,,," 画像には、洞窟のような暗い背景の中に、光に照らされた祭壇のようなものがあり、その上に亀のような生き物が乗っています。亀の甲羅は青く、胴体は黄色で、長い尾があります。亀の口からは、雷のようなものが放たれています。祭壇の周りには、水のようなものが流れており、その中から岩が突き出ています。

この画像のキャラクターの名前はsinギルティです。"
ママゴアシ,"いい子ね坊や、
ねんねしな…ネンネしな…
ネンネシナァァ！！",家族への強い憧れを持ち、世界に生きるすべてのものを己の家族と捉え、彼らの面倒を見て世話をしたいという強烈な願望を持つ、援助欲求の化身たる存在。強制的に援助を行うために己の固有結界である「家族遊戯（プレイハウス）」へ周囲のものを引きずり込み、その姿かたちをおもちゃのようなものへと変貌させていく。そうして、頭髪のように見える数多の触手を用いてそれらに同時に様々な援助を行うのだった。,自分勝手で傍若無人、感情の浮き沈みが激しい,,家族、誰かの世話をすること,自分の思うようにいかないこと,," ママゴアシは、赤い着物を着た老婆のような姿をしています。
着物の裾には、蜘蛛の巣のような模様が入っています。
彼女は、長い白髪をしており、その髪には赤いリボンが結ばれています。
また、彼女は、背中に大きな蜘蛛の巣を背負っており、その巣には、たくさんの赤ちゃんのぬいぐるみが入っています。
彼女は、手に哺乳瓶を持っており、その哺乳瓶には、緑色の液体がが入っています。
彼女の口元には、哺乳瓶の乳首がくわえられています。
彼女は、両手を広げており、その手には、それぞれ赤い糸と青い糸が握られています。
彼女の足は、蜘蛛の足のように細長く、その足には、赤いハイヒールが履かれています。"
クリムト,"輝き燃える愛こそ真実…
この絵であなたを虜にしてあげる♡",妖艶な雰囲気を纏う画家。愛に魅せられており、愛を与えること、与えられること、そして愛の美しさを伝えることで自らの画法が完成すると信じている。絢爛な輝きを放つ黄金の絵具で木々や花を描いて、その強烈な美しさで人々を魅了し、視線を集めるクリムト。彼女が描く絵画は、彼女自身の放つ魅力をより一層引き立てるのだった。,蠱惑的で自由奔放,7/14,愛、黄金の輝き,愛を持たない人,女, クリムトは、金色の長髪と青い目で、背が高く、グラマラスな女性です。彼女は、露出度の高い青と黄色のドレスを着ており、右腕には長い手袋をしています。彼女の足元には、黄色いハイヒールと、大小さまざまなキャンディが散りばめられています。また、彼女の周りには、黄色い液体のようなものが流れており、その液体の正体は不明です。
エンプレス・オーロニー,"ああ♡この美しさこそ、
朽ちることなき命の輝き、
世界の憧れにふさわしい…",カルトブルムの近隣国であるヴァトナ皇国の女帝。オーロラの輝きこそが世界のすべてだと信じて疑わず、その美しさで世界を魅了し、大いなる称賛を得たいという野望を抱いている。カルトブルムの持つエネルギー源を奪い、その魔力を使って世界を極夜で包み込み、オーロラが常に美しく輝き続ける世界を作ろうと企み、カルトブルムへの侵略を開始した。,美意識が高い自信家、ミステリアスで底が知れない,10/27,自身の美しさ、極夜,美を理解しない者たち、悪天候,女," エンプレス・オーロニーは、黒髪で紫色の目をした女性です。
彼女は黒いドレスを着ており、ドレスには紫色の宝石の装飾がされています。
また、彼女は首に紫色の宝石のネックレスをつけており、頭には紫色の宝石のティアラをつけています。
彼女は右手を胸の近くに置き、左手を水の上に置いています。
水にはオーロラのような光が反射しています。
彼女は微笑んでおり、穏やかな表情をしています。"
ファダダス,"…９９９４、よっしゃあ後６回、
ど根性～～～～！！",闘気が高まるとダイヤモンドダストを周囲に発生させる特異体質を持つ少女。強さに対する純粋な憧れから、他の迷惑をかえりみずに己の闘気を高めて鍛錬に明け暮れている。武術が得意であり、強者を求めて道場破りを繰り返していたところ、ヴァトナ皇国内で彼女に敵う武術家は誰ひとりいなくなってしまった。そこで皇国の憲兵相手に腕試しと称して暴れていたところを、エンプレス・オーロニーからカルトブルムには腕の立つ者が大勢いると吹き込まれ、さらに近く侵略を開始するので力試しをしてみないかとそそのかされる。これまで、他国での争いは面倒ごとになると避け続けていたファダダスだったが、侵略という口実を得られるならとオーロニーの提案に乗ることを決め、ヴァトナ皇国軍の精鋭部隊に加わることとなった。,熱血で猪突猛進,2/17,鍛錬、自分より強い相手,弱い相手、空腹,女," ファダダスは、モンストに登場するキャラクターです。
彼女は筋肉質で、緑の髪と黄色の目をしています。
彼女は黒いノースリーブのタンクトップと、緑のショートパンツを着ています。
また、彼女は両手に大きな氷の塊を持ち上げています。
彼女の口は大きく開いていて、歯を食いしばっています。
彼女は怒っているように見えます。"
ガイザラシ,"硫黄の香りがたまらんモシ～♡
…あ、石鹸は使用禁止だモシ♪",丸々としたアザラシのような風貌の間欠泉の妖精。とにかく温泉が大好きで、頭部にある間欠泉から湯を出して、至る所を温泉化してしまうという野望を持っている。以前より間欠泉が潤沢にあるカルトブルムの土地に目をつけていたが、そんな折、エンプレス・オーロニーからカルトブルムの侵略に手を貸してくれれば褒美として侵略後の土地を自由にしていいと提案され、二つ返事で快諾した。こうしてヴァトナ皇国の先鋭部隊に加わったガイザラシは、オーロニーと共にカルトブルムの侵略を開始するのだった。,のんびり屋だが、短気で凶暴な一面もあわせ持つ,9/9,温泉、風呂上がりの牛乳,ぬるいお湯、シャワー,男," ガイザラシは、赤い肌をしたアザラシのようなキャラクターです。頭に赤い帽子をかぶり、首には白いタオルを巻いています。体は太っちょで、お腹には大きな口があります。手には、炎の玉のようなものを持っています。

このキャラクターは、日本のゲーム「モンスターストライク」に登場するキャラクターです。名前は「ガイザラシ」で、火属性のモンスターです。"
クロッカス,"フフ…顔に出ていますよ、王子…
後三つ答えられたら
休憩にしましょう…",ヒヤシンスの教育係。頭脳明晰ながら王子のボディーガードも勤め上げ、有事の際には王子の護衛として活躍している。喜怒哀楽を滅多に表に出さないため、ミステリアスな人物という印象を持たれがちだが、王子を含め彼をよく知る者からの信頼は厚い。,勤勉で頭脳明晰、喜怒哀楽を滅多に表に出さない,4/7,王子の成長を見守ること、読書、ティータイム,王子に仇なす者、粗野な者,男, クロッカスは、金色の髪と紫色の瞳を持つ少年です。背は高く、細身の体型をしています。彼は、紫色の軍服を着て、マントを羽織っています。軍服には、金色のボタンと、胸には勲章が付いています。マントには、紫色の花びらが描かれています。彼は、左手で本を持ち、右手で杖を持っています。杖には、紫色の花が咲いています。彼は、知的で落ち着いた雰囲気を持っています。
スノードロップ,"まあ大変…王子は私の…
じゃなかった、皆の希望、
私がそばで守らないと…",カルトブルムの教会の修道女。先祖代々、王族を慕っており、有事の際には国を守るために神殿騎士として活動をしている。実は幾度か会うたびに、年下ではあるもののヒヤシンスに対して恋心を抱くようになり、たまに会う機会には照れながらも遠慮なく話しかけている。ある日、近隣のヴァトナ皇国が自国に攻め入ると王子から連絡用の小鳥を使って知らされて、スノードロップはこの国と愛する王子を守るために神殿騎士として戦いに向かうことを決意する。その一方で、王子に会えるかも知れないことを密かに喜んでいるのだった。,普段はおっとりしていて物静かだが、ヒヤシンスのことに対しては情熱的でやや図々しい面を見せる,1/1,ヒヤシンス王子、雪景色,恋心を隠すこと、熱すぎるお風呂,女, スノードロップは、白いドレスを着た若い女性です。ドレスには緑の葉のディテールがあしらわれています。彼女はまた、緑の杖を持っており、杖には白い花が咲いています。彼女の髪は長く、金色で、頭には白い花の髪飾りをつけています。彼女は青い目をしていて、頬にはピンクのチークがあります。彼女は背が高く、スリムな体型をしています。彼女は空を飛んでいる青い鳥の隣に立っています。
ヒヤシンス,"風が少し強いな…
ま、それも全て計算に入れてやるさ…",カルトブルムを治める若き王子。幼少期より教育係のクロッカスに厳しく指導されてきたため、勉強や運動能力は大人と比べても群を抜くレベルに達しているが、クールで生意気な性格のため友人と呼べる相手がほとんどいない。近隣国であるヴァトナ皇国が自国を攻め入ると知った際、密かに作っていた迫撃砲の設計書を部下に渡し、武器の製作を進めさせた。,意地っ張りで短気、プライドが高い,12/3,自分の才能、スノードロップと喋ること,クロッカスのお説教,男," ヒヤシンスは、赤いマントを羽織った少年です。
彼は双眼鏡で遠くを見つめています。
彼の髪は赤く、目は青く、背格好は小柄です。
彼は、モンスターストライクというゲームのキャラクターです。"
フォーサー,"哀れなる魂たちに
崇高なる御身の御慈悲を…
全ては我が主の導きのままに…",元は美しく純粋な女騎士だったが、邪神の声に騙されて狂気の姿へと成り果てた存在。ある日、突然頭の中に響く声を聞いた女騎士は、その声を神の声だと信じ込み、声の主から与えられた不思議な力を用いて、神託に導かれるままに様々な行動をとるとすべてがうまくいき、瞬く間に騎士のトップの座へとのし上がった。こうして神を盲信するようになった女騎士は、その正体が邪神であるとも知らずに、「美しい魂を持つ存在しかいない争いのない世界を創るために、汚れたこの世のすべての魂を集めて神へ返還せよ」という邪神の神託に従い、生者たちの魂を集めては邪神へ捧げることだけが己の使命となった果てに、異形の狂戦士へと変貌を遂げてしまった。その体は、狂信ゆえに自らを燃やして邪神への供物として捧げてしまったがために、炎に魂を定着させた姿となっている。,正義感が強く、己が信じたものを決して裏切らない,,美しい魂、己の崇高な使命,汚れた魂、己の使命を妨げるもの,," フォーサーは、頭からつま先まで全身を鎧で覆った騎士のような姿をしています。鎧の色は金色で、ところどころに赤い宝石が埋め込まれています。頭には王冠のようなものをつけており、背中には大きなマントをなびかせています。

左腕には包帯を巻いており、その包帯からは赤い血がしたたり落ちています。また、右腕には大きな剣を持っており、その剣には稲妻のようなものが纏わりついています。

フォーサーの目は赤く、口元には鋭い牙が覗いています。彼は恐ろしい形相でこちらを睨みつけており、その姿はまさに悪魔そのものと言えます。"
マギア,"世間を賑わす
謎の美少女魔法使い、か。
ふふっ、悪くない響きね♪",20XX年、東京都・罪宿（シンジュク）。この街で暮らすマギアは、表向きは有名私立校に通う女子高生だが、その裏では都市に現れる魔物・ヘロデと戦う魔法少女としての二重生活を送っていた。表向きは成績優秀で品行方正なお嬢様として振る舞っているが、本性は快活で人から褒められたり注目されることを好む仮面優等生で、趣味はSNSで魔法少女としての自分の評判をチェックして悦に浸ること。頭脳明晰、文武両道の天才なのだが、ネーミングセンスが壊滅的なのが玉にキズ。,表向きは清楚で品行方正だが、実際は快活で感情が昂ぶると言動が荒っぽくなる一面も持つ,12/25,自分の活躍がネットでバズること、カッコいい技名を考えること、SNSチェック、オオアマナの花、冬空,注目されないこと、虫,女, マギアは、白い髪と青い目をした少女です。髪は長く、ツインテールに結ばれています。白いセーラー服を着ており、スカートは紺色です。紺色のニーハイソックスを履き、黒い靴を履いています。左の腰には白い本のようなものをつけています。また、スマートフォンを持っています。
